2026-02-02 11:24:09 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:24:15 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:24:15 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:24:15 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:24:15 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:24:15 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:24:46 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:24:46 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:24:46 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:31:03 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:31:09 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:31:09 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:31:15 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:31:15 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:31:15 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:31:15 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:31:15 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:31:15 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:32:30 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:32:35 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:32:35 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:32:38 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:32:39 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:32:39 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:32:39 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:32:39 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:32:39 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:32:39 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:32:39 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:32:39 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:43:03 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:43:08 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:43:08 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:43:08 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:43:08 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:43:08 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:43:08 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:43:08 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:43:08 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:46:42 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
